year,faelle_gesamt,tv_insgesamt,tv_nichtdeutsch
2000.0,6264723.0,2286372,589109
2001.0,6363865.0,2280611,568384
2002.0,6507394.0,2326149,566918
2003.0,6572135.0,2355161,553750
2004.0,6633156.0,2384268,546985
2005.0,6391715.0,2313136,519573
2006.0,6304223.0,2283127,503037
2007.0,6284661.0,2294883,490278
2008.0,6114128.0,2255693,471067
2009.0,6054330.0,2187217,462378
2010.0,5933278.0,2152803,471812
2011.0,5990679.0,2112843,484529
2012.0,5997040.0,2094123,502390
2013.0,5961662.0,2094160,538449
2014.0,6082064.0,2149504,617392
2015.0,6330649.0,2369036,911864
2016.0,6372526.0,2360806,953744
2017.0,5761984.0,2112715,736265
2018.0,5555520.0,2051266,708380
2019.0,5436401.0,2019211,699261
2020.0,5310621.0,1969617,663199
2021.0,5047860.0,1892003,639127
2022.0,5628584.0,2093782,783876
2023.0,5940667.0,2246767,923269
